date_x,Closed PnL,Size USD,Fee,Trade_Count,timestamp,value,classification,date_y,date_only
2023-05-01,0.0,477.0,0.0,3,2023-05-01 05:30:00,63,Greed,2023-05-01,2023-05-01
2023-12-05,0.0,50005.83,12.501455,9,2023-12-05 05:30:00,75,Extreme Greed,2023-12-05,2023-12-05
2023-12-14,-205.43473700000007,113203.35,28.300831000000002,11,2023-12-14 05:30:00,72,Greed,2023-12-14,2023-12-14
2023-12-15,-24.632033999999997,10609.95,2.652489,2,2023-12-15 05:30:00,70,Greed,2023-12-15,2023-12-15
2023-12-16,0.0,15348.77,3.8371890000000004,3,2023-12-16 05:30:00,67,Greed,2023-12-16,2023-12-16
2023-12-17,304.982785,116278.02,29.069499,14,2023-12-17 05:30:00,73,Greed,2023-12-17,2023-12-17
2023-12-18,0.0,31164.179999999997,7.791045,2,2023-12-18 05:30:00,65,Greed,2023-12-18,2023-12-18
2023-12-19,1000.5386120000001,91602.41,22.900596,15,2023-12-19 05:30:00,73,Greed,2023-12-19,2023-12-19
2023-12-20,162.732282,141636.79,35.409187,18,2023-12-20 05:30:00,74,Greed,2023-12-20,2023-12-20
2023-12-21,537.211402,125233.97,31.308469,49,2023-12-21 05:30:00,70,Greed,2023-12-21,2023-12-21
2023-12-22,141.832675,88874.28,22.218566000000003,10,2023-12-22 05:30:00,74,Greed,2023-12-22,2023-12-22
2023-12-23,146.936704,78438.25,19.609555,13,2023-12-23 05:30:00,70,Greed,2023-12-23,2023-12-23
2023-12-24,1008.619956,402954.94,100.738715,39,2023-12-24 05:30:00,71,Greed,2023-12-24,2023-12-24
2023-12-25,-245.081348,59948.51,14.987124999999999,3,2023-12-25 05:30:00,73,Greed,2023-12-25,2023-12-25
2023-12-27,-704.8892269999999,171411.06,42.852747,28,2023-12-27 05:30:00,73,Greed,2023-12-27,2023-12-27
2023-12-28,-970.730876,100117.25,25.0293,23,2023-12-28 05:30:00,73,Greed,2023-12-28,2023-12-28
2023-12-29,508.92214299999995,569559.72,142.389901,50,2023-12-29 05:30:00,65,Greed,2023-12-29,2023-12-29
2023-12-30,354.998648,702550.21,175.637526,52,2023-12-30 05:30:00,68,Greed,2023-12-30,2023-12-30
2024-01-01,-129.53146,264239.52999999997,66.059867,18,2024-01-01 05:30:00,65,Greed,2024-01-01,2024-01-01
2024-01-02,783.979116,121348.74,30.337176,17,2024-01-02 05:30:00,71,Greed,2024-01-02,2024-01-02
2024-01-03,866.015507,394499.36,98.624811,67,2024-01-03 05:30:00,70,Greed,2024-01-03,2024-01-03
2024-01-04,-67.60364,99792.54000000001,24.948132,5,2024-01-04 05:30:00,68,Greed,2024-01-04,2024-01-04
2024-01-05,164.141565,1703942.66,425.985639,66,2024-01-05 05:30:00,72,Greed,2024-01-05,2024-01-05
2024-01-06,135.58166400000002,298521.4,74.630342,22,2024-01-06 05:30:00,70,Greed,2024-01-06,2024-01-06
2024-01-07,-835.681235,1048850.06,262.212464,97,2024-01-07 05:30:00,71,Greed,2024-01-07,2024-01-07
2024-01-08,-269.874439,1522452.43,380.613064,128,2024-01-08 05:30:00,71,Greed,2024-01-08,2024-01-08
2024-01-09,-826.349863,870051.97,204.012928,70,2024-01-09 05:30:00,76,Extreme Greed,2024-01-09,2024-01-09
2024-01-10,-1517.091342,2057479.48,434.044865,193,2024-01-10 05:30:00,73,Greed,2024-01-10,2024-01-10
2024-01-11,-164.08950099999998,305314.1,75.867171,21,2024-01-11 05:30:00,76,Extreme Greed,2024-01-11,2024-01-11
2024-01-12,-1925.519024,200082.27,49.480726999999995,7,2024-01-12 05:30:00,71,Greed,2024-01-12,2024-01-12
2024-01-15,152.85358,50636.1,12.652712,14,2024-01-15 05:30:00,52,Neutral,2024-01-15,2024-01-15
2024-01-16,-2299.171458,116427.33,17.319309,9,2024-01-16 05:30:00,64,Greed,2024-01-16,2024-01-16
2024-01-17,813.2741110000001,800831.03,159.707606,53,2024-01-17 05:30:00,60,Greed,2024-01-17,2024-01-17
2024-01-18,68.93319,424631.52999999997,92.657901,46,2024-01-18 05:30:00,63,Greed,2024-01-18,2024-01-18
2024-01-19,-385.419235,428428.97,93.051868,48,2024-01-19 05:30:00,51,Neutral,2024-01-19,2024-01-19
2024-01-20,-146.57487000000003,1070090.51,267.522583,106,2024-01-20 05:30:00,52,Neutral,2024-01-20,2024-01-20
2024-01-21,266.58114600000005,103129.74,25.78243,11,2024-01-21 05:30:00,56,Greed,2024-01-21,2024-01-21
2024-01-22,1375.640959,337878.99,67.478268,85,2024-01-22 05:30:00,55,Greed,2024-01-22,2024-01-22
2024-01-23,-369.2447299999998,414518.93000000005,85.72457,45,2024-01-23 05:30:00,50,Neutral,2024-01-23,2024-01-23
2024-01-24,-2808.353815,965084.59,227.771095,68,2024-01-24 05:30:00,48,Neutral,2024-01-24,2024-01-24
2024-01-25,-3093.6293849999997,66566.13,16.641532,6,2024-01-25 05:30:00,52,Neutral,2024-01-25,2024-01-25
2024-01-26,90.2,11773.21,0.444235,5,2024-01-26 05:30:00,49,Neutral,2024-01-26,2024-01-26
2024-01-28,-2478.06972,18109.03,-0.362176,11,2024-01-28 05:30:00,54,Neutral,2024-01-28,2024-01-28
2024-01-29,486.562542,414208.18,103.26260500000001,74,2024-01-29 05:30:00,55,Greed,2024-01-29,2024-01-29
2024-01-30,-173.65419100000003,401011.38,100.25281,49,2024-01-30 05:30:00,61,Greed,2024-01-30,2024-01-30
2024-01-31,-799.840817,6305647.13,1549.411475,859,2024-01-31 05:30:00,60,Greed,2024-01-31,2024-01-31
2024-02-01,0.0,2008.18,0.5020439999999999,6,2024-02-01 05:30:00,63,Greed,2024-02-01,2024-02-01
2024-02-02,456.423473,474278.43,91.569636,42,2024-02-02 05:30:00,63,Greed,2024-02-02,2024-02-02
2024-02-03,223.30918699999998,603820.0,109.662349,56,2024-02-03 05:30:00,60,Greed,2024-02-03,2024-02-03
2024-02-04,47.62389499999999,203187.53,50.52688,35,2024-02-04 05:30:00,60,Greed,2024-02-04,2024-02-04
2024-02-05,-33.45419400000003,770198.26,165.549465,72,2024-02-05 05:30:00,60,Greed,2024-02-05,2024-02-05
2024-02-06,-215.615907,8047153.41,988.606997,1088,2024-02-06 05:30:00,64,Greed,2024-02-06,2024-02-06
2024-02-07,241.24212,6758.73,0.339693,15,2024-02-07 05:30:00,62,Greed,2024-02-07,2024-02-07
2024-02-08,770.756024,26051.12,3.0028870000000003,10,2024-02-08 05:30:00,66,Greed,2024-02-08,2024-02-08
2024-02-11,983.443176,212311.82,24.955292,34,2024-02-11 05:30:00,71,Greed,2024-02-11,2024-02-11
2024-02-12,913.8817869999998,227247.69999999998,27.111911,16,2024-02-12 05:30:00,70,Greed,2024-02-12,2024-02-12
2024-02-13,559.44389,1999.99,-0.039992,14,2024-02-13 05:30:00,79,Extreme Greed,2024-02-13,2024-02-13
2024-02-14,3830.599833,320839.88,22.917474000000002,111,2024-02-14 05:30:00,74,Greed,2024-02-14,2024-02-14
2024-02-15,1840.797677,185188.04,30.706297,63,2024-02-15 05:30:00,72,Greed,2024-02-15,2024-02-15
2024-02-16,5491.768834,564896.51,27.22517,182,2024-02-16 05:30:00,72,Greed,2024-02-16,2024-02-16
2024-02-17,1929.6418,406118.07,62.055053,94,2024-02-17 05:30:00,76,Extreme Greed,2024-02-17,2024-02-17
2024-02-18,477.6248299999999,157048.17,-3.140925,97,2024-02-18 05:30:00,72,Greed,2024-02-18,2024-02-18
2024-02-19,4317.768563,286377.2,14.85262,101,2024-02-19 05:30:00,75,Extreme Greed,2024-02-19,2024-02-19
2024-02-20,3263.628824,119419.72,3.073675,39,2024-02-20 05:30:00,72,Greed,2024-02-20,2024-02-20
2024-02-21,1858.7985700000002,108047.51999999999,2.970629,22,2024-02-21 05:30:00,78,Extreme Greed,2024-02-21,2024-02-21
2024-02-22,3894.1050699999996,373033.87,25.45258,88,2024-02-22 05:30:00,74,Greed,2024-02-22,2024-02-22
2024-02-23,1418.55293,111106.14,-2.067069,143,2024-02-23 05:30:00,76,Extreme Greed,2024-02-23,2024-02-23
2024-02-25,-30.7705,4480.13,-0.0896,5,2024-02-25 05:30:00,74,Greed,2024-02-25,2024-02-25
2024-02-26,4416.8473,192187.14,-0.09772499999999981,39,2024-02-26 05:30:00,72,Greed,2024-02-26,2024-02-26
2024-02-27,888.511733,209362.3,-3.761609,63,2024-02-27 05:30:00,79,Extreme Greed,2024-02-27,2024-02-27
2024-02-28,2503.747235,171107.13,-1.377152,45,2024-02-28 05:30:00,82,Extreme Greed,2024-02-28,2024-02-28
